,Company_Name,Ratings,Rating_Count,Salary,Interview,Jobs
1,TCS,3.3,1.1L,9.8L,11.9k,2.7k
2,TCS,3.3,1.1L,9.8L,11.9k,2.7k
3,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
4,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
6,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
7,TCS,3.3,1.1L,9.8L,11.9k,2.7k
8,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
9,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
10,Cognizant,3.6,60.2k,6L,6.3k,624
11,TCS,3.3,1.1L,9.8L,11.9k,2.7k
12,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
13,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
14,Cognizant,3.6,60.2k,6L,6.3k,624
15,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
16,TCS,3.3,1.1L,9.8L,11.9k,2.7k
17,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
18,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
19,Cognizant,3.6,60.2k,6L,6.3k,624
20,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
21,HDFC Bank,3.8,51.1k,1.5L,3k,330
22,TCS,3.3,1.1L,9.8L,11.9k,2.7k
23,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
24,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
25,Cognizant,3.6,60.2k,6L,6.3k,624
26,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
27,HDFC Bank,3.8,51.1k,1.5L,3k,330
28,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
29,TCS,3.3,1.1L,9.8L,11.9k,2.7k
30,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
31,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
32,Cognizant,3.6,60.2k,6L,6.3k,624
33,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
34,HDFC Bank,3.8,51.1k,1.5L,3k,330
35,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
36,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
37,TCS,3.3,1.1L,9.8L,11.9k,2.7k
38,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
39,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
40,Cognizant,3.6,60.2k,6L,6.3k,624
41,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
